payment_order_id,payment_amount,payment_fee,payment_method,payment_status
70899071,170.8,4.61,ONLINE,PAID
70899113,123.7,3.34,ONLINE,PAID
70899273,105.5,1.58,ONLINE,PAID
70899458,29.9,0.45,ONLINE,PAID
70899511,13.9,0.21,ONLINE,PAID
70899514,89.6,1.25,ONLINE,PAID
70899546,35.8,0.54,ONLINE,PAID
70899684,157.3,4.25,ONLINE,PAID
70899731,52.6,0.79,ONLINE,PAID
70899765,26.9,0.4,ONLINE,PAID
70899766,74.6,1.04,DEBIT,PAID
70899798,181.2,4.89,ONLINE,PAID
70900149,81.6,1.22,ONLINE,PAID
70900179,35.8,0.54,ONLINE,PAID
70900181,38.3,0.54,ONLINE,PAID
70900452,29.8,0.45,ONLINE,PAID
70900873,104.9,1.57,ONLINE,PAID
70900926,56.7,0.85,ONLINE,PAID
70900972,164,2.3,ONLINE,PAID
70900993,67.8,1.83,ONLINE,PAID
70901119,49.5,0.74,ONLINE,PAID
70901148,56.4,0.85,ONLINE,PAID
70901208,67.8,1.02,ONLINE,PAID
70901311,24.6,0.37,ONLINE,PAID
70901359,15,0,VOUCHER,PAID
70901380,67.8,1.83,ONLINE,PAID
70901422,117.5,3.17,ONLINE,PAID
70901464,63.49,0.95,ONLINE,PAID
70901506,116.7,0,ONLINE,PAID
70901539,116.35,3.14,ONLINE,PAID
70901590,55.7,0.84,ONLINE,PAID
70901679,76.5,0,MEAL_BENEFIT,PAID
70901780,34.8,0,MEAL_BENEFIT,PAID
70901850,28.95,0.43,DEBIT,PAID
70901852,46.2,0.65,ONLINE,PAID
70901864,9.4,0.14,ONLINE,PAID
70902692,99.25,2.68,ONLINE,PAID
70902948,39.8,0.6,ONLINE,PAID
70903076,32,0.48,ONLINE,PAID
70903272,13.9,0.21,ONLINE,PAID
70903558,55.8,0.84,ONLINE,PAID
70903722,35.99,0.54,ONLINE,PAID
70903841,54.33,0.76,DEBIT,PAID
70903928,33.9,0.51,ONLINE,PAID
70903939,82.2,2.22,ONLINE,PAID
70904055,78.7,2.12,ONLINE,PAID
70904299,37.9,0.57,ONLINE,PAID
70904301,83.7,0,MEAL_BENEFIT,PAID
70904327,76.8,1.15,ONLINE,PAID
70904375,85.22,1.28,ONLINE,PAID
70904441,68.8,1.86,ONLINE,PAID
70904480,37.9,0.57,ONLINE,PAID
70904481,121.08,2.42,ONLINE,PAID
70904578,47.8,0.72,ONLINE,PAID
70904969,31.9,0,ONLINE,PAID
70905121,22.4,0.34,ONLINE,PAID
70905167,57.5,1.55,ONLINE,PAID
70905171,39.9,0.6,ONLINE,PAID
70905213,32.9,0.49,ONLINE,PAID
70905280,44.6,0.67,ONLINE,PAID
70905287,58.8,1.59,ONLINE,PAID
